"Exploitations par tranche de superficie agricole utilisée (SAU)"
""
"Année de référence";"2010"
"France entière";"FR - France entière"
"Champ des exploitations";"Ensemble des exploitations (hors pacages collectifs)"
""
"Source";"Agreste - Recensements"
"notes";"- Les données sont localisées au siège de l'exploitation agricole. Les années 1970 et 1979 ne portent que sur la France métropolitaine."
""
"Superficie agricole utilisée";"Nombre d'exploitations concernées";"Superficie agricole utilisée (ha)";"Volume de travail des exploitations concernées (UTA)";"Production brute standard (millier d'euros)"
"Ensemble";"514694";"27087794";"785564";"52069201"
"SAU inférieure à 5 ha, y compris sans SAU";"138723";"267216";"117403";"5688434"
"SAU de 5 à moins de 20 ha";"96707";"1049496";"123422";"5931004"
"SAU de 20 à moins de 35 ha";"47862";"1289872";"76836";"3999501"
"SAU de 35 à moins de 50 ha";"40494";"1709864";"69126";"4088180"
"SAU de 50 à moins de 75 ha";"56563";"3490412";"100680";"6720612"
"SAU de 75 à moins de 100 ha";"41048";"3557514";"77471";"5752043"
"SAU de 100 à moins de 125 ha";"29830";"3325475";"59275";"4683939"
"SAU de 125 à moins de 150 ha";"19860";"2712375";"42125";"3567374"
"SAU de 150 à moins de 200 ha";"22978";"3938698";"53089";"4869961"
"SAU de 200 à moins de 300 ha";"15381";"3647666";"42894";"4317701"
"SAU de 300 ha ou plus";"5248";"2099204";"23241";"2450451"
"SAU inférieure à 1 ha";"42495";"14934";"39853";"3013622"
"SAU de 1 à moins de 2 ha";"33562";"47501";"25174";"727731"
"SAU de 2 à moins de 5 ha";"62666";"204781";"52376";"1947081"
"SAU de 5 à moins de 10 ha";"46614";"332293";"52497";"2512936"
"SAU de 10 à moins de 20 ha";"50093";"717203";"70925";"3418067"
"SAU de 20 ha ou plus";"279264";"25771082";"544738";"40449763"
