Month_Year,agriculture bio,Article_Count,LSA_Articles_Ratio
2000-01,0.5,,0.0
2000-02,0.5,,0.0
2000-03,0.5,,0.0
2000-04,0.5,,0.0
2000-05,0.5,,0.0
2000-06,0.5,,0.0
2000-07,0.5,,0.0
2000-08,0.5,,0.0
2000-09,0.5,,0.0
2000-10,0.5,,0.0
2000-11,0.5,,0.0
2000-12,0.5,,0.0
2001-01,0.5,,0.0
2001-02,0.5,,0.0
2001-03,0.5,,0.0
2001-04,0.5,,0.0
2001-05,0.5,,0.0
2001-06,0.5,,0.0
2001-07,0.5,,0.0
2001-08,0.5,,0.0
2001-09,0.5,,0.0
2001-10,0.5,,0.0
2001-11,0.5,,0.0
2001-12,0.5,,0.0
2002-01,0.5,,0.0
2002-02,0.5,,0.0
2002-03,0.5,,0.0
2002-04,0.5,,0.0
2002-05,0.5,,0.0
2002-06,0.5,,0.0
2002-07,0.5,,0.0
2002-08,0.5,,0.0
2002-09,0.5,,0.0
2002-10,0.5,,0.0
2002-11,0.5,,0.0
2002-12,0.5,,0.0
2003-01,0.5,,0.0
2003-02,0.5,,0.0
2003-03,0.5,,0.0
2003-04,0.5,,0.0
2003-05,0.5,,0.0
2003-06,0.5,,0.0
2003-07,0.5,,0.0
2003-08,0.5,,0.0
2003-09,0.5,,0.0
2003-10,0.5,,0.0
2003-11,0.5,,0.0
2003-12,0.5,,0.0
2004-01,100.0,,0.0
2004-02,100.0,,0.0
2004-03,100.0,,0.0
2004-04,100.0,,0.0
2004-05,100.0,,0.0
2004-06,100.0,,0.0
2004-07,100.0,,0.0
2004-08,100.0,,0.0
2004-09,100.0,,0.0
2004-10,100.0,,0.0
2004-11,100.0,,0.0
2004-12,100.0,,0.0
2005-01,89.0,,0.0
2005-02,89.0,,0.0
2005-03,89.0,,0.0
2005-04,89.0,,0.0
2005-05,89.0,,0.0
2005-06,89.0,,0.0
2005-07,89.0,,0.0
2005-08,89.0,,0.0
2005-09,89.0,,0.0
2005-10,89.0,,0.0
2005-11,89.0,,0.0
2005-12,89.0,,0.0
2006-01,76.0,,0.0
2006-02,76.0,,0.0
2006-03,76.0,,0.0
2006-04,76.0,,0.0
2006-05,76.0,,0.0
2006-06,76.0,,0.0
2006-07,76.0,,0.0
2006-08,76.0,,0.0
2006-09,76.0,,0.0
2006-10,76.0,,0.0
2006-11,76.0,,0.0
2006-12,76.0,,0.0
2007-01,70.0,,0.0
2007-02,70.0,,0.0
2007-03,70.0,,0.0
2007-04,70.0,,0.0
2007-05,70.0,,0.0
2007-06,70.0,,0.0
2007-07,70.0,,0.0
2007-08,70.0,,0.0
2007-09,70.0,,0.0
2007-10,70.0,,0.0
2007-11,70.0,,0.0
2007-12,70.0,,0.0
2008-01,85.0,,0.0
2008-02,85.0,,0.0
2008-03,85.0,,0.0
2008-04,85.0,,0.0
2008-05,85.0,,0.0
2008-06,85.0,,0.0
2008-07,85.0,,0.0
2008-08,85.0,,0.0
2008-09,85.0,,0.0
2008-10,85.0,,0.0
2008-11,85.0,,0.0
2008-12,85.0,,0.0
2009-01,88.0,,0.0
2009-02,88.0,,0.0
2009-03,88.0,,0.0
2009-04,88.0,,0.0
2009-05,88.0,,0.0
2009-06,88.0,,0.0
2009-07,88.0,,0.0
2009-08,88.0,,0.0
2009-09,88.0,,0.0
2009-10,88.0,,0.0
2009-11,88.0,,0.0
2009-12,88.0,,0.0
2010-01,68.0,,0.0
2010-02,68.0,,0.0
2010-03,68.0,,0.0
2010-04,68.0,,0.0
2010-05,68.0,,0.0
2010-06,68.0,,0.0
2010-07,68.0,,0.0
2010-08,68.0,,0.0
2010-09,68.0,,0.0
2010-10,68.0,,0.0
2010-11,68.0,,0.0
2010-12,68.0,,0.0
2011-01,56.0,,0.0
2011-02,56.0,,0.0
2011-03,56.0,,0.0
2011-04,56.0,,0.0
2011-05,56.0,,0.0
2011-06,56.0,,0.0
2011-07,56.0,,0.0
2011-08,56.0,,0.0
2011-09,56.0,,0.0
2011-10,56.0,,0.0
2011-11,56.0,,0.0
2011-12,56.0,,0.0
2012-01,44.0,,0.0
2012-02,44.0,,0.0
2012-03,44.0,,0.0
2012-04,44.0,,0.0
2012-05,44.0,,0.0
2012-06,44.0,,0.0
2012-07,44.0,,0.0
2012-08,44.0,,0.0
2012-09,44.0,,0.0
2012-10,44.0,,0.0
2012-11,44.0,,0.0
2012-12,44.0,,0.0
2013-01,42.0,,0.0
2013-02,42.0,,0.0
2013-03,42.0,,0.0
2013-04,42.0,,0.0
2013-05,42.0,,0.0
2013-06,42.0,,0.0
2013-07,42.0,,0.0
2013-08,42.0,,0.0
2013-09,42.0,,0.0
2013-10,42.0,,0.0
2013-11,42.0,,0.0
2013-12,42.0,,0.0
2014-01,47.0,,0.0
2014-02,47.0,,0.0
2014-03,47.0,,0.0
2014-04,47.0,,0.0
2014-05,47.0,,0.0
2014-06,47.0,,0.0
2014-07,47.0,,0.0
2014-08,47.0,,0.0
2014-09,47.0,,0.0
2014-10,47.0,,0.0
2014-11,47.0,,0.0
2014-12,47.0,,0.0
2015-01,48.0,,0.0
2015-02,48.0,,0.0
2015-03,48.0,,0.0
2015-04,48.0,,0.0
2015-05,48.0,,0.0
2015-06,48.0,,0.0
2015-07,48.0,,0.0
2015-08,48.0,,0.0
2015-09,48.0,,0.0
2015-10,48.0,,0.0
2015-11,48.0,,0.0
2015-12,48.0,,0.0
2016-01,59.0,,0.0
2016-02,59.0,,0.0
2016-03,59.0,,0.0
2016-04,59.0,,0.0
2016-05,59.0,,0.0
2016-06,59.0,,0.0
2016-07,59.0,,0.0
2016-08,59.0,,0.0
2016-09,59.0,,0.0
2016-10,59.0,8.0,0.0
2016-11,59.0,13.0,0.0
2016-12,59.0,7.0,0.0
2017-01,56.0,10.0,0.0
2017-02,56.0,7.0,0.0
2017-03,56.0,10.0,0.0
2017-04,56.0,13.0,0.0
2017-05,56.0,21.0,0.0
2017-06,56.0,9.0,0.0
2017-07,56.0,4.0,0.0
2017-08,56.0,6.0,0.0
2017-09,56.0,19.0,0.0
2017-10,56.0,31.0,0.0
2017-11,56.0,18.0,0.0
2017-12,56.0,8.0,0.0
2018-01,52.0,13.0,0.0
2018-02,52.0,25.0,0.0
2018-03,52.0,10.0,0.0
2018-04,52.0,24.0,0.0
2018-05,52.0,25.0,0.0
2018-06,52.0,32.0,0.0
2018-07,52.0,21.0,0.0
2018-08,52.0,4.0,0.0
2018-09,52.0,61.0,0.0
2018-10,52.0,48.0,0.0
2018-11,52.0,42.0,0.0
2018-12,52.0,18.0,0.0
2019-01,41.0,42.0,0.0
2019-02,41.0,33.0,0.0
2019-03,41.0,36.0,0.0
2019-04,41.0,31.0,0.0
2019-05,41.0,32.0,0.0
2019-06,41.0,31.0,0.0
2019-07,41.0,20.0,0.0
2019-08,41.0,5.0,0.0
2019-09,41.0,38.0,0.0
2019-10,41.0,46.0,0.0
2019-11,41.0,54.0,0.0
2019-12,41.0,27.0,0.0
2020-01,43.0,22.0,0.0
2020-02,43.0,55.0,0.0
2020-03,43.0,37.0,0.0
2020-04,43.0,34.0,0.0
2020-05,43.0,30.0,0.0
2020-06,43.0,39.0,0.0
2020-07,43.0,19.0,0.0
2020-08,43.0,5.0,0.0
2020-09,43.0,48.0,0.0
2020-10,43.0,31.0,0.0
2020-11,43.0,51.0,0.0
2020-12,43.0,22.0,0.0
2021-01,36.0,29.0,0.0
2021-02,36.0,43.0,0.0
2021-03,36.0,37.0,0.0
2021-04,36.0,30.0,0.0
2021-05,36.0,31.0,0.0
2021-06,36.0,30.0,0.0
2021-07,36.0,17.0,0.0
2021-08,36.0,9.0,0.0
2021-09,36.0,32.0,0.0
2021-10,36.0,31.0,0.0
2021-11,36.0,41.0,0.0
2021-12,36.0,13.0,0.0
2022-01,36.0,22.0,0.0
2022-02,36.0,17.0,0.0
2022-03,36.0,27.0,0.0
2022-04,36.0,11.0,0.0
2022-05,36.0,25.0,0.0
2022-06,36.0,25.0,0.0
2022-07,36.0,10.0,0.0
2022-08,36.0,5.0,0.0
2022-09,36.0,21.0,0.0
2022-10,36.0,21.0,0.0
2022-11,36.0,18.0,0.0
2022-12,36.0,9.0,0.0
2023-01,34.0,5.0,0.0
2023-02,34.0,7.0,0.0
2023-03,34.0,6.0,0.0
2023-04,34.0,8.0,0.0
2023-05,34.0,6.0,0.0
2023-06,34.0,9.0,0.0
2023-07,34.0,3.0,0.0
2023-08,34.0,4.0,0.0
2023-09,34.0,7.0,0.0
2023-10,34.0,14.0,0.0
2023-11,34.0,6.0,0.0
2023-12,34.0,13.0,0.0
2024-01,33.0,5.0,0.0
2024-02,33.0,4.0,0.0
2024-03,33.0,6.0,0.0
2024-04,33.0,4.0,0.0
2024-05,33.0,5.0,0.0
2024-06,33.0,11.0,0.0
2024-07,33.0,2.0,0.0
2024-08,33.0,,0.0
2024-09,33.0,4.0,0.0
2024-10,33.0,11.0,0.0
2024-11,33.0,10.0,0.0
2024-12,33.0,1.0,0.0
